X,Y
0,7.993428306
0.101010101,7.026501701
0.202020202,8.901437682
0.303030303,10.95515062
0.404040404,7.743814463
0.505050505,8.046877601
0.606060606,11.97660745
0.707070707,10.65608158
0.808080808,8.485293652
0.909090909,10.81239281
1.01010101,9.103467645
1.111111111,9.401873826
1.212121212,11.12028818
1.313131313,7.11283345
1.414141414,7.792588577
1.515151515,10.42087949
1.616161616,9.822822608
1.717171717,12.78000982
1.818181818,10.6384973
1.919191919,9.932968355
2.02020202,15.9919036
2.121212121,12.91208376
2.222222222,13.80172308
2.323232323,11.1202006
2.424242424,13.18396182
2.525252525,14.79760276
2.626262626,12.57680072
2.727272727,15.93321422
2.828282828,14.28357111
2.929292929,15.20449129
3.03030303,14.88749587
3.131313131,20.09849576
3.232323232,16.66997525
3.333333333,14.88457814
3.434343434,18.94812013
3.535353535,15.16437331
3.636363636,18.3268181
3.737373737,14.29278096
3.838383838,15.85877942
3.939393939,19.21190429
4.04040404,20.59814528
4.141414141,19.76697899
4.242424242,19.49597616
4.343434343,19.42809564
4.444444444,17.37628935
4.545454545,19.19667522
4.646464646,20.0181164
4.747474747,23.35666869
4.848484848,22.23269112
4.949494949,18.32240454
5.050505051,22.79968309
5.151515152,21.68438089
5.252525253,21.40373176
5.353535354,24.28395864
5.454545455,25.42563541
5.555555556,25.5292269
5.656565657,22.29126192
5.757575758,23.65430252
5.858585859,25.23828444
5.95959596,26.82987813
6.060606061,24.22346971
6.161616162,25.11353053
6.262626263,23.57520884
6.363636364,23.69849584
6.464646465,28.01899104
6.565656566,29.40944975
6.666666667,26.85597976
6.767676768,29.3100961
6.868686869,28.32933266
6.96969697,26.6188514
7.070707071,28.93491242
7.171717172,31.59122465
7.272727273,28.74652974
7.373737374,32.25049943
7.474747475,24.18475222
7.575757576,31.37107774
7.676767677,30.20439717
7.777777778,29.73531863
7.878787879,30.81988519
7.97979798,26.96425611
8.080808081,30.80308047
8.181818182,32.25967969
8.282828283,34.80427294
8.383838384,31.11497471
8.484848485,30.83755825
8.585858586,31.75406167
8.686868687,34.8914103
8.787878788,34.02113858
8.888888889,32.60714626
8.98989899,34.99623184
9.090909091,34.46688237
9.191919192,36.51304756
9.292929293,33.47468169
9.393939394,34.52649389
9.494949495,34.70063218
9.595959596,32.86084889
9.696969697,36.68314965
9.797979798,36.91604994
9.898989899,36.70719661
10,36.53082573
